average,units,VG2020 Dry Doug Fir,VG2020 Auto Damper LP,VG2020 Fan + AD,2469E ARC dev natural draft,USStove Auto-Control,Princess Baseline,princess zones updraft gasifier ignitor,princess chimney control,Dauntless insulated 2ft insulated chimney,sirocco baseline dry fir,Sirocco 12 mm holes,average,Percent Change,Percent Change High,Percent Change Low
Emissions Outputs Cut Periods,units,average,average,average,average,average,average,average,average,average,average,average,nan,nan,nan,nan
test_code,,1B,1R1,1R2,2B,2R,3B,3R1,3R2,4R,5B,5R,,,,
time,#units:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TC1,,,,,,240.872,73.328,nan,nan,nan,,,157.1,nan,nan,nan
TC2,,,,,,nan,29.241,nan,182.309,nan,,,105.775,nan,nan,nan
TC3,,,,,,nan,141.348,nan,nan,nan,,,141.348,nan,nan,nan
AmbTemp,,,,,,nan,29.063,nan,nan,nan,,,29.063,nan,nan,nan
AmbRH,,,,,,nan,30.504,nan,nan,nan,,,30.504,nan,nan,nan
AS1_415nm,,,,,,5.849,nan,2.491,1.505,nan,,,3.282,nan,nan,nan
AS1_445nm,,,,,,11.203,nan,5.578,5.419,nan,,,7.4,nan,nan,nan
AS1_480nm,,,,,,13.001,nan,6.294,5.565,nan,,,8.287,nan,nan,nan
AS1_515nm,,,,,,17.151,nan,8.952,8.021,nan,,,11.375,nan,nan,nan
AS1_555nm,,,,,,22.051,nan,11.257,11.236,nan,,,14.848,nan,nan,nan
AS1_590nm,,,,,,25.495,nan,12.848,12.215,nan,,,16.853,nan,nan,nan
AS1_630nm,,,,,,22.972,nan,12.042,10.691,nan,,,15.235,nan,nan,nan
AS1_680nm,,,,,,18.809,nan,9.272,6.174,nan,,,11.418,nan,nan,nan
AS1_CLEAR,,,,,,106.948,nan,26.857,42.078,nan,,,58.628,nan,nan,nan
AS1_NIR,,,,,,79.063,nan,15.799,18.454,nan,,,37.772,nan,nan,nan
AS2_415nm,,,,,,0.883,nan,1.17,1.983,nan,,,1.345,nan,nan,nan
AS2_445nm,,,,,,0.999,nan,1.969,13.288,nan,,,5.419,nan,nan,nan
AS2_480nm,,,,,,1.794,nan,2.68,12.336,nan,,,5.603,nan,nan,nan
AS2_515nm,,,,,,3.749,nan,3.63,17.794,nan,,,8.391,nan,nan,nan
