All Outputs,units,11.14.25,11.17.25,11.18.25,11.19.25,11.20.25,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
Scale1_lp,Scale,42.0,42.0,42.0,,42.0,42.0,4,0.0,0.0,42.0,42.0,0.0,42.0-42.0
Scale2_lp,Scale,1.0,1.0,1.0,,41.48104875165171,11.12,4,20.241,23.817,34.937,-12.697,182.023,-12.697-34.937
mode1_lp,mode,1.0,1.0,1.0,,0.012657347520689895,0.753,4,0.494,0.581,1.334,0.172,65.604,0.172-1.334
mode2_lp,mode,2.0,2.0,2.0,,0.02531469504137979,1.506,4,0.987,1.161,2.667,0.345,65.538,0.345-2.667
state_press_lp,state,1.0,1.0,1.0,,0.012657347520689895,0.753,4,0.494,0.581,1.334,0.172,65.604,0.172-1.334
Kp1_lp,P,2.0,2.0,2.0,,2.0,2.0,4,0.0,0.0,2.0,2.0,0.0,2.0-2.0
Ki1_lp,I,1.0,1.0,1.0,,1.0,1.0,4,0.0,0.0,1.0,1.0,0.0,1.0-1.0
Kd1_lp,D,0.0,0.0,0.0,,0.0,nan,0,nan,nan,nan,nan,nan,nan-nan
Kp2_lp,P,2.0,2.0,2.0,,2.0,2.0,4,0.0,0.0,2.0,2.0,0.0,2.0-2.0
Ki2_lp,I,1.0,1.0,1.0,,1.0,1.0,4,0.0,0.0,1.0,1.0,0.0,1.0-1.0
PWM1_hp,10_bit_PWM,,,,,142.38881278538813,142.389,1,nan,nan,nan,nan,nan,nan-nan
PWM2_hp,10_bit_PWM,,,,,1000.0,1000.0,1,nan,nan,nan,nan,nan,nan-nan
PWM3_hp,14_bit_PWM,,,,,740.0,740.0,1,nan,nan,nan,nan,nan,nan-nan
Flow1_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow2_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow3_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow4_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow5_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
Flow6_hp,SLPM,,,,,999.0,999.0,1,nan,nan,nan,nan,nan,nan-nan
STC1_hp,degC,,,,,350.73402511415526,350.734,1,nan,nan,nan,nan,nan,nan-nan
STC2_hp,degC,,,,,474.5095205479452,474.51,1,nan,nan,nan,nan,nan,nan-nan
STC3_hp,degC,,,,,470.4676506849315,470.468,1,nan,nan,nan,nan,nan,nan-nan
STC4_hp,degC,,,,,223.02255707762558,223.023,1,nan,nan,nan,nan,nan,nan-nan
deltaP1_hp,Pa,,,,,-0.04237442922374429,-0.042,1,nan,nan,nan,nan,nan,nan-nan
deltaP2_hp,Pa,,,,,-18.03741095890411,-18.037,1,nan,nan,nan,nan,nan,nan-nan
Lambda_hp,Lambda,,,,,3.2323036529680365,3.232,1,nan,nan,nan,nan,nan,nan-nan
