20260610 12:42:11,47,4003,-1.09,706,3,-0.009,18.72,17.25,59.8,0.03,-0.03,18,21.18,-214,16.80,18.92,18.68,18.96,17.12,18.44,nan,nan,nan,-50.19,nan,18.44,-0.397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512,0.465,0.000,582.155,0.326

entering calmode
Main Menu
1: A
2: B
3: C
4: D
5: Time
6: .Digits 
7: ID
8: CO2 com
9: CH4 com
10: Save
11: Reset
 enter>3
C Entry
0: AGAIN1
1: AGAIN2
2: AGAIN3
3: ASTEP1
4: ASTEP2
5: ASTEP3
6: ATIME1
7: ATIME2
8: ATIME3
9: nan
10: nan
11: nan
12: nan
13: nan
14: nan
15: nan
16: nan
17: nan
18: nan
19: nan
20: nan
21: nan
22: nan
23: nan
24: nan
25: nan
26: nan
27: nan
28: nan
29: nan
30: nan
31: nan
32: nan
33: nan
34: nan
35: nan
36: nan
37: nan
38: nan
39: nan
40: nan
41: nan
42: nan
43: nan
44: nan
45: nan
46: nan
47: nan
48: nan
49: nan
50: nan
51: nan
52: nan
53: nan
54: nan
55: nan
56: nan
57: nan
58: nan
59: nan
60: nan
61: nan
62: nan
100: Back to main menu
 enter>#<bkd> going back to main menu from C's100
Main Menu
1: A
2: B
3: C
4: D
5: Time
6: .Digits 
7: ID
8: CO2 com
9: CH4 com
10: Save
11: Reset
 enter>4
D Entry
0: AGAIN1    16.0000000
1: AGAIN2    16.0000000
2: AGAIN3    16.0000000
3: ASTEP1    299.0000000
4: ASTEP2    299.0000000
5: ASTEP3    299.0000000
6: ATIME1    29.0000000
7: ATIME2    29.0000000
8: ATIME3    29.0000000
9: nan    nan
10: nan    nan
11: nan    nan
12: nan    nan
13: nan    nan
14: nan    nan
15: nan    nan
16: nan    nan
17: nan    nan
18: nan    nan
19: nan    nan
20: nan    nan
21: nan    nan
22: nan    nan
23: nan    nan
24: nan    nan
25: nan    nan
26: nan    nan
27: nan    nan
28: nan    nan
29: nan    nan
30: nan    nan
31: nan    nan
32: nan    nan
33: nan    nan
34: nan    nan
35: nan    nan
36: nan    nan
37: nan    nan
38: nan    nan
39: nan    nan
40: nan    nan
41: nan    nan
42: nan    nan
43: nan    nan
44: nan    nan
45: nan    nan
46: nan    nan
47: nan    nan
48: nan    nan
49: nan    nan
50: nan    nan
51: nan    nan
52: nan    nan
53: nan    nan
54: nan    nan
55: nan    nan
56: nan    nan
57: nan    nan
58: nan    nan
59: nan    nan
60: nan    nan
61: nan    nan
62: nan    nan
100: Back to main menu
 enter>#<bkd> going back to main menu #<bkd> params:AGAIN1,16.0000000,0:AGAIN2,16.0000000,1:AGAIN3,16.0000000,2:ASTEP1,299.0000000,3:ASTEP2,299.0000000,4:ASTEP3,299.0000000,5:ATIME1,29.0000000,6:ATIME2,29.0000000,7:ATIME3,29.0000000,8100
Main Menu
1: A
2: B
3: C
4: D
5: Time
6: .Digits 
7: ID
8: CO2 com
9: CH4 com
10: Save
11: Reset
 enter>11
Reset chosen
#version: SB4003.19
#enabled DS3231 square wave timing
#reading eemem...............................
