Energy Outputs,units,3.21.23,3.22.23,3.23.23,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
EFenergy_CO2hi_test,g/MJ,84.98953567440186,78.89350769437705,80.10993805470974,81.331,3,3.226,5.439,86.77,75.892,3.967,86.77-75.892
EFenergy_PM_test,mg/MJ,307.6068702544575,496.74694642474026,1024.0558635676173,609.47,3,371.288,625.938,1235.408,-16.468,60.92,1235.408--16.468
ER_CO_test,g/min,0.7330730463131204,1.1387522096913807,2.1579076613701935,1.343,3,0.734,1.237,2.58,0.106,54.654,2.58-0.106
ER_COhi_test,g/min,0.8696016186827501,1.30915269902088,2.6825065900302,1.62,3,0.946,1.595,3.215,0.025,58.395,3.215-0.025
ER_CO2_test,g/min,9.598769917774385,9.053768528830046,20.393575448025423,13.015,3,6.396,10.783,23.798,2.232,49.143,23.798-2.232
ER_CO2hi_test,g/min,9.384252871362865,8.786031094506868,19.569312725771944,12.58,3,6.06,10.216,22.796,2.364,48.172,22.796-2.364
ER_PM_test,mg/min,33.964895001841576,55.320573833482285,250.1570957292298,113.148,3,119.133,200.841,313.989,-87.693,105.29,313.989--87.693
ER_PM_heat_test,g/hr,2.0381908390056376,3.3192344300089167,15.010520788076397,6.789,3,7.149,12.052,18.841,-5.263,105.303,18.841--5.263
Realtime_conc_PM_test,mg/m^3,25426.55392097151,31338.10451761434,79098.82166781617,45287.827,3,29429.987,49614.675,94902.502,-4326.848,64.984,94902.502--4326.848
PM_flowrate_test,g/hr,5.990879468682974,9.619671041986727,43.219192193371455,19.61,3,20.527,34.606,54.216,-14.996,104.676,54.216--14.996
Stak_PM_test,g/m^3,0.13842731306475045,0.1811529830003319,0.6309145800708266,0.317,3,0.273,0.46,0.777,-0.143,86.12,0.777--0.143
StakFlow_test,m^3/s,0.01365060934698614,0.01622959553954368,0.012791231834266732,0.014,3,0.002,0.003,0.017,0.011,14.286,0.017-0.011
ER_stak_test,g/hr,6.558091196858141,10.361731269554658,28.21737783873912,15.046,3,11.564,19.495,34.541,-4.449,76.858,34.541--4.449
