Energy Outputs,units,5.31,7.11,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
initial_water_mass_pot3_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot3_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot3_lp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
initial_water_mass_pot4_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
final_water_mass_pot4_lp,kg,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_pot4_lp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
useful_energy_delivered_lp,kJ,,,nan,0,nan,nan,nan,nan,nan,nan-nan
cooking_power_lp,kW,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_wo_char_lp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
eff_w_char_lp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_energy_productivity_lp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
char_mass_productivity_lp,%,,,nan,0,nan,nan,nan,nan,nan,nan-nan
burn_rate_lp,g/min,,112.93169046728974,112.932,1,nan,nan,nan,nan,nan,nan-nan
firepower_lp,kW,,57.00791734788786,57.008,1,nan,nan,nan,nan,nan,nan-nan
Emissions Outputs,units,5.31,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
CO_L1,ppm,153.953909160429,153.954,1,nan,nan,nan,nan,nan,nan-nan
CO_hp,ppm,853.9425217302522,853.943,1,nan,nan,nan,nan,nan,nan-nan
CO2_L1,ppm,4035.0578126599535,4035.058,1,nan,nan,nan,nan,nan,nan-nan
CO2_hp,ppm,5997.918308037194,5997.918,1,nan,nan,nan,nan,nan,nan-nan
PM_L1,Mm^-1,2664.3463243843667,2664.346,1,nan,nan,nan,nan,nan,nan-nan
PM_hp,Mm^-1,6608.47960298739,6608.48,1,nan,nan,nan,nan,nan,nan-nan
P_amb,Pa,88036.0,88036.0,1,nan,nan,nan,nan,nan,nan-nan
P_duct,Pa,88036.0,88036.0,1,nan,nan,nan,nan,nan,nan-nan
MCE_L1,mol/mol,0.9632481550819041,0.963,1,nan,nan,nan,nan,nan,nan-nan
MW_duct_L1,g/mol,29.0,29.0,1,nan,nan,nan,nan,nan,nan-nan
density_L1,gm^-3,1003.5428933137662,1003.543,1,nan,nan,nan,nan,nan,nan-nan
mass_flow_L1,g/sec,121.56215874624763,121.562,1,nan,nan,nan,nan,nan,nan-nan
mole_flow_L1,mol/sec,4.191798577456806,4.192,1,nan,nan,nan,nan,nan,nan-nan
vol_flow_L1,m^3/sec,0.1240563926241062,0.124,1,nan,nan,nan,nan,nan,nan-nan
totvol_L1,m^3,540.3896462706066,540.39,1,nan,nan,nan,nan,nan,nan-nan
COmass_L1,gm^-3,0.1453339438292847,0.145,1,nan,nan,nan,nan,nan,nan-nan
CO_total_mass_L1,g,125.18608468125424,125.186,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_dry_mass_L1,g/kg,34.38883702931244,34.389,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_energy_L1,g/MJ,0.9764395088882954,0.976,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_energy_w_char_L1,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_useful_eng_deliver_L1,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_mass_time_L1,g/min,1.724326235278984,1.724,1,nan,nan,nan,nan,nan,nan-nan
CO2mass_L1,gm^-3,5.82112380834897,5.821,1,nan,nan,nan,nan,nan,nan-nan
CO2_total_mass_L1,g,4668.8913302021765,4668.891,1,nan,nan,nan,nan,nan,nan-nan
CO2_fuel_dry_mass_L1,g/kg,1282.552637305501,1282.553,1,nan,nan,nan,nan,nan,nan-nan
CO2_fuel_energy_L1,g/MJ,36.416906632419796,36.417,1,nan,nan,nan,nan,nan,nan-nan
CO2_fuel_energy_w_char_L1,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO2_useful_eng_deliver_L1,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO2_mass_time_L1,g/min,64.3097979366691,64.31,1,nan,nan,nan,nan,nan,nan-nan
PMmass_L1,gm^-3,0.16934583815976592,0.169,1,nan,nan,nan,nan,nan,nan-nan
PM_total_mass_L1,g,147.93918345838833,147.939,1,nan,nan,nan,nan,nan,nan-nan
PM_fuel_dry_mass_L1,g/kg,40.63915317068689,40.639,1,nan,nan,nan,nan,nan,nan-nan
PM_fuel_energy_L1,g/MJ,1.1539115070916113,1.154,1,nan,nan,nan,nan,nan,nan-nan
PM_fuel_energy_w_char_L1,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_useful_eng_deliver_L1,mg/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
PM_mass_time_L1,mg/min,2037.7297997023188,2037.73,1,nan,nan,nan,nan,nan,nan-nan
PM_heat_mass_time_L1,g/hr,122.26378798213912,122.264,1,nan,nan,nan,nan,nan,nan-nan
MCE_hp,mol/mol,0.8753707141831666,0.875,1,nan,nan,nan,nan,nan,nan-nan
MW_duct_hp,g/mol,29.0,29.0,1,nan,nan,nan,nan,nan,nan-nan
density_hp,gm^-3,959.7424806670851,959.742,1,nan,nan,nan,nan,nan,nan-nan
mass_flow_hp,g/sec,186.69600132758617,186.696,1,nan,nan,nan,nan,nan,nan-nan
mole_flow_hp,mol/sec,6.4377931492271,6.438,1,nan,nan,nan,nan,nan,nan-nan
vol_flow_hp,m^3/sec,0.19425388187749243,0.194,1,nan,nan,nan,nan,nan,nan-nan
totvol_hp,m^3,1247.3041755353788,1247.304,1,nan,nan,nan,nan,nan,nan-nan
COmass_hp,gm^-3,0.765029506063457,0.765,1,nan,nan,nan,nan,nan,nan-nan
CO_total_mass_hp,g,930.5164169539242,930.516,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_dry_mass_hp,g/kg,125.81194290296168,125.812,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_energy_hp,g/MJ,3.572314807730687,3.572,1,nan,nan,nan,nan,nan,nan-nan
CO_fuel_energy_w_char_hp,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_useful_eng_deliver_hp,g/MJ,,nan,0,nan,nan,nan,nan,nan,nan-nan
CO_mass_time_hp,g/min,8.695060740887005,8.695,1,nan,nan,nan,nan,nan,nan-nan
CO2mass_hp,gm^-3,8.535544776717616,8.536,1,nan,nan,nan,nan,nan,nan-nan
CO2_total_mass_hp,g,10509.292375600782,10509.292,1,nan,nan,nan,nan,nan,nan-nan
