time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 13:21:09,7791.0,120.92890152360515,28.54656,38.16223090128756,14615.0,26.496000000000002,346.70000000000005,2704.46,2645.712,5074.005364806867,38.0,19513.556354166667,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:11,7793.0,119.65850652360514,28.55424,36.94543090128756,14645.0,26.50368,346.40000000000003,2703.206,2602.8480000000004,5082.005364806867,38.0,19513.556377314813,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:13,7795.0,118.93747152360514,28.5504,46.071430901287556,14447.0,26.49984,346.1,2708.222,2601.0240000000003,5067.005364806867,38.0,19513.556400462963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:15,7797.0,118.31944152360515,28.56192,44.04343090128756,14621.0,26.50752,345.90000000000003,2700.28,2629.7520000000004,5036.005364806867,38.0,19513.55642361111,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:17,7799.0,118.11343152360514,28.55424,47.89663090128755,14714.0,26.51904,345.90000000000003,2708.64,2607.864,4973.005364806867,38.0,19513.55644675926,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:19,7801.0,118.55978652360514,28.55808,45.665830901287556,14639.0,26.52288,345.90000000000003,2705.714,2624.28,4973.005364806867,38.0,19513.556469907406,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:21,7803.0,119.04047652360515,28.55808,47.55863090128756,14433.0,26.51136,345.8,2706.9680000000003,2595.552,4934.005364806867,38.0,19513.556493055556,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:23,7805.0,120.13919652360515,28.56192,39.108630901287555,14513.0,26.51136,345.6,2703.6240000000003,2603.304,4934.005364806867,38.0,19513.556516203702,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:25,7807.0,121.85594652360514,28.56576,39.98743090128755,14612.0,26.51136,345.5,2704.0420000000004,2618.3520000000003,4950.005364806867,38.0,19513.556539351852,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:27,7809.0,123.50402652360515,28.57344,42.01543090128756,14613.0,26.53056,345.5,2706.132,2629.7520000000004,4911.005364806867,38.0,19513.5565625,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:29,7811.0,125.73580152360515,28.56576,40.39303090128756,14622.0,26.52672,345.40000000000003,2707.8040000000005,2611.512,4959.005364806867,38.0,19513.556585648148,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:31,7813.0,127.62422652360515,28.57344,35.999030901287554,14518.0,26.5152,345.5,2699.862,2620.1760000000004,4998.005364806867,38.0,19513.556608796298,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:33,7815.0,129.13496652360513,28.59264,45.39543090128756,14519.0,26.538240000000002,345.6,2704.46,2637.0480000000002,5052.005364806867,38.0,19513.556631944444,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:35,7817.0,130.61137152360516,28.5888,39.31143090128756,14465.0,26.52672,345.5,2702.3700000000003,2611.968,5084.005364806867,38.0,19513.556655092594,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:37,7819.0,131.77876152360514,28.57344,35.66103090128756,14529.0,26.545920000000002,345.5,2704.46,2645.2560000000003,5107.005364806867,38.0,19513.55667824074,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:39,7821.0,132.80881152360516,28.608,34.91743090128756,14524.0,26.5344,345.3,2703.206,2586.888,5052.005364806867,38.0,19513.55670138889,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:41,7823.0,133.87319652360515,28.60416,34.714630901287556,14228.0,26.545920000000002,345.20000000000005,2705.714,2655.288,5045.005364806867,38.0,19513.556724537037,none,-1.37443152360515,2.803369098712446,869.994635193133
