time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 11:36:52,1400.0,21.96472661971831,1102.6478873239437,2537.429577464791,0.295,24.8510954,47.0,52.3,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.483935185184,hp
20230727 11:36:56,1404.0,21.72862661971831,1074.6478873239437,4022.429577464791,0.2843,24.843498,47.3,52.3,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48398148148,hp
20230727 11:37:00,1408.0,21.35086661971831,1059.6478873239437,2807.429577464791,0.305,24.8510954,48.1,52.2,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484027777777,hp
20230727 11:37:04,1412.0,21.69714661971831,1033.6478873239437,2267.429577464791,0.2893,24.843498,48.2,52.3,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484074074073,hp
20230727 11:37:08,1416.0,23.44428661971831,1017.6478873239437,3482.429577464791,0.3042,24.8472967,47.7,52.3,23.9,1533.5424,1.2845056,3.8,3.6,3.3,3.0,19565.48412037037,hp
20230727 11:37:12,1420.0,24.27850661971831,1005.6478873239437,3617.429577464791,0.308,24.8472967,47.5,52.5,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484166666665,hp
20230727 11:37:16,1424.0,24.19980661971831,982.6478873239437,4157.429577464791,0.3215,24.8472967,47.5,52.6,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48421296296,hp
20230727 11:37:20,1428.0,24.02666661971831,990.6478873239437,5912.429577464791,0.3251,24.8472967,47.8,52.6,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484259259258,hp
20230727 11:37:24,1432.0,24.59330661971831,990.6478873239437,4292.429577464791,0.33,24.8472967,47.5,52.7,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484305555554,hp
20230727 11:37:28,1436.0,24.79792661971831,1005.6478873239437,5777.429577464791,0.3322,24.8510954,47.7,52.7,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48435185185,hp
20230727 11:37:32,1440.0,24.89236661971831,1025.6478873239437,5777.429577464791,0.3179,24.843498,48.2,52.8,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48439814815,hp
20230727 11:37:36,1444.0,25.78954661971831,1037.6478873239437,10772.42957746479,0.344,24.843498,48.5,53.0,23.9,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.484444444446,hp
