time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:21:20,468.0,-0.29906,609.0,34020.0,0.2922,21.0751876,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.0
20230727 11:21:24,472.0,-0.34628000000000003,619.0,34020.0,0.3119,21.082785,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:21:28,476.0,-0.2361,614.0,34290.0,0.3001,21.0751876,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:21:32,480.0,-0.33054,614.0,33480.0,0.2926,21.0789863,21.9,51.9,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:21:36,484.0,-0.3148,616.0,34020.0,0.2994,21.0751876,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:21:40,488.0,-0.29906,614.0,34020.0,0.2993,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:21:44,492.0,-0.29906,603.0,34695.0,0.2851,21.0751876,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:21:48,496.0,-0.26758,596.0,34155.0,0.2709,21.082785,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:21:52,500.0,-0.25184,604.0,34155.0,0.2925,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:21:56,504.0,-0.3148,606.0,34425.0,0.2892,21.0789863,21.9,51.8,22.1,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:22:00,508.0,-0.26758,614.0,34155.0,0.2853,21.0789863,21.9,51.7,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:22:04,512.0,-0.28332,617.0,34155.0,0.2916,21.0789863,21.9,51.7,22.1,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:22:08,516.0,-0.26758,603.0,33885.0,0.2848,21.0789863,21.9,51.7,22.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:22:12,520.0,-0.28332,596.0,34290.0,0.2785,21.0789863,21.9,51.7,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:16,524.0,-0.25184,604.0,34020.0,0.2951,21.0751876,21.9,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:20,528.0,-0.28332,608.0,34155.0,0.2821,21.0751876,21.9,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:24,532.0,-0.28332,617.0,34155.0,0.2966,21.0789863,22.0,51.6,22.2,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:22:28,536.0,-0.25184,617.0,34155.0,0.278,21.0789863,22.0,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:32,540.0,-0.26758,619.0,34155.0,0.2899,21.0789863,22.0,51.6,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:36,544.0,-0.26758,614.0,34155.0,0.2858,21.0789863,22.0,51.5,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:40,548.0,-0.29906,625.0,34155.0,0.2821,21.0789863,22.0,51.5,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:44,552.0,-0.26758,639.0,34560.0,0.2833,21.0751876,22.0,51.5,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:48,556.0,-0.2361,638.0,34560.0,0.2887,21.0713889,22.0,51.5,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:52,560.0,-0.33054,623.0,34020.0,0.2925,21.0751876,22.0,51.5,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:22:56,564.0,-0.33054,633.0,34155.0,0.2955,21.0751876,22.0,51.4,22.2,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:00,568.0,-0.29906,633.0,34965.0,0.2901,21.0751876,22.0,51.4,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:04,572.0,-0.26758,639.0,34020.0,0.2769,21.0751876,22.0,51.4,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:08,576.0,-0.29906,634.0,34425.0,0.2956,21.0751876,22.0,51.3,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:12,580.0,-0.26758,628.0,33885.0,0.2853,21.0713889,22.0,51.3,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:16,584.0,-0.25184,616.0,34020.0,0.3014,21.0713889,22.0,51.3,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:20,588.0,-0.25184,623.0,34560.0,0.278,21.067590199999998,22.0,51.3,22.3,1533.5424,1.2845056,3.9,3.7,3.4,3.1
20230727 11:23:24,592.0,-0.26758,621.0,34695.0,0.3012,21.0713889,22.0,51.2,22.3,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:23:28,596.0,-0.33054,618.0,34560.0,0.302,21.067590199999998,22.0,51.2,22.3,1533.5424,1.2845056,3.9,3.7,3.5,3.0
20230727 11:23:32,600.0,-0.28332,623.0,34965.0,0.3099,21.0637915,22.0,51.2,22.3,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:23:36,604.0,-0.33054,620.0,34695.0,0.2984,21.0637915,22.0,51.2,22.3,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:23:40,608.0,-0.34628000000000003,620.0,34290.0,0.3005,21.067590199999998,22.0,51.2,22.3,1533.5424,1.2845056,3.8,3.7,3.5,2.9
