time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 11:32:52,1160.0,113.74466661971832,1936.6478873239437,9557.42957746479,0.273,23.7950568,33.8,55.7,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48115740741,hp,0.12803025335111673+/-0,3.4250781788345477+/-0,0.00420463263550558+/-0,0.9445254195832182,29.0,1165.3770248471806+/-0,28.993132017932624,0.9997631730321594,0.024878757174515757,1.5015021829167245,0.0031852335841141654,0.08521168831495737,0.00010460603434678755,0.24477687103468898,4.069731560926918,0.018483292284462816
20230727 11:32:56,1164.0,104.55250661971832,1910.6478873239437,11852.42957746479,0.3059,23.8482386,34.0,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481203703705,hp,0.11766254518995937+/-0,3.3784905406678383+/-0,0.005214279823619621+/-0,0.9481180596560358,29.0,1165.1683473541686+/-0,30.687722706259706,1.0581973346986104,0.026337586989849594,1.5278397699065742,0.003098947519387664,0.08898128850922318,0.00013733154844399937,0.24787581855407664,4.158712849436141,0.018620623832906816
20230727 11:33:00,1168.0,95.83254661971831,1866.6478873239437,7532.429577464791,0.2894,23.893823,34.5,55.8,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48125,hp,0.10783262219061501+/-0,3.3001813063461674+/-0,0.003313767469522601+/-0,0.9511676422540732,29.0,1164.9895404041479+/-0,29.84632474980401,1.029183612062207,0.025619392891244316,1.5534591627978185,0.0027626063143944765,0.08454864149962238,8.489671075192399e-05,0.2506384248684711,4.2432614909357635,0.01870552054365874
20230727 11:33:04,1172.0,88.3088266197183,1846.6478873239437,6317.429577464791,0.2917,23.9432061,34.8,55.7,23.4,1533.5424,1.2845056,3.9,3.6,3.4,2.9,19565.481296296297,hp,0.09935027109548483+/-0,3.264279183564593+/-0,0.002779248369932814+/-0,0.9543613425647467,29.0,1164.7958947946506+/-0,29.962201051195102,1.0331793465929346,0.025723134143151603,1.5791822969409701,0.0025556003505476338,0.08396749131952942,7.149097863691721e-05,0.25319402521901874,4.327228982255293,0.018777011522295658
20230727 11:33:08,1176.0,81.09990661971831,1814.6478873239437,4427.429577464791,0.2812,23.9849918,35.0,55.6,23.4,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481342592593,hp,0.09122717320301346+/-0,3.2072623851886846+/-0,0.0019477742150153675+/-0,0.9572200970620629,29.0,1164.6320910920767+/-0,29.41593235885283,1.0143424951328563,0.02525770377087023,1.6044400007118405,0.002304188916615585,0.08100808324055049,4.919630413539745e-05,0.25549821413563434,4.408237065495843,0.018826207826431057
20230727 11:33:12,1180.0,74.7724266197183,1787.6478873239437,4157.429577464791,0.2934,24.0305762,35.3,55.6,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48138888889,hp,0.08409665418336378+/-0,3.159057145307323+/-0,0.0018289921928843036+/-0,0.9598520129640402,29.0,1164.4534486795342+/-0,30.044965116645216,1.0360332798843177,0.02580177434376237,1.6302417750556029,0.0021698428943045718,0.08150927960226967,4.71912438373039e-05,0.2576680570299389,4.489746345098113,0.01887339907026836
20230727 11:33:16,1184.0,68.7125266197183,1748.6478873239437,3347.429577464791,0.2967,24.0723619,35.6,55.5,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481435185186,hp,0.07727021132495038+/-0,3.0897035298444133+/-0,0.0014726461264911123+/-0,0.9621910293123351,29.0,1164.28974127152+/-0,30.211333303486136,1.041770113913315,0.02594829468349722,1.6561900697391,0.0020050302137159166,0.08017253767704438,3.821265565470211e-05,0.2596730872436548,4.569918882775157,0.018911611725923063
20230727 11:33:20,1188.0,62.76280661971831,1703.6478873239437,1997.4295774647908,0.3155,24.110348899999998,35.9,55.1,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.48148148148,hp,0.0705704741944837+/-0,3.00980790397383+/-0,0.0008787360158357933+/-0,0.9644687349126069,29.0,1164.1409562937542+/-0,31.15179310137381,1.0741997621163382,0.026759468372757004,1.682949538111857,0.0018884283722577508,0.08054085941446175,2.3514508623760407e-05,0.26156151561591257,4.650459742189619,0.018935126234546823
20230727 11:33:24,1192.0,57.12788661971832,1666.6478873239437,2132.429577464791,0.2952,24.1445372,36.1,54.8,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481527777778,hp,0.06422718558978438+/-0,2.944101981417623+/-0,0.0009381270269013252+/-0,0.9668588644281612,29.0,1164.0070823227393+/-0,30.13120995197103,1.039007239723139,0.02588576170159133,1.7088352998134484,0.001662569620941039,0.07621032231615946,2.4284132664190065e-05,0.2632240852368536,4.726670064505778,0.018959410367211015
20230727 11:33:28,1196.0,51.96516661971832,1612.6478873239437,2402.429577464791,0.2854,24.174926799999998,36.6,54.7,23.5,1533.5424,1.2845056,3.8,3.6,3.4,2.9,19565.481574074074,hp,0.05841692147661271+/-0,2.8484208353649993+/-0,0.001056909049032389+/-0,0.9687824347546676,29.0,1163.888109083564+/-0,29.625329109217162,1.0215630727316263,0.025453760441408672,1.734289060254857,0.0014869303249902812,0.07250302157969786,2.690230974242748e-05,0.26471101556184384,4.799173086085476,0.018986312676953443
