time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text
20230727 12:14:48,3676.0,21.02032661971831,1183.6478873239437,6047.429577464791,7.2796400000000006,25.2803485,45.4,47.2,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51027777778,mp
20230727 12:14:52,3680.0,22.26378661971831,1176.6478873239437,5102.429577464791,7.282179999999999,25.2803485,45.7,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510324074075,mp
20230727 12:14:56,3684.0,22.48414661971831,1160.6478873239437,7532.429577464791,7.772399999999999,25.2879459,45.9,47.3,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51037037037,mp
20230727 12:15:00,3688.0,22.46840661971831,1160.6478873239437,5642.429577464791,7.2237599999999995,25.2955433,46.1,47.2,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510416666668,mp
20230727 12:15:04,3692.0,22.10638661971831,1155.6478873239437,6317.429577464791,7.56412,25.3107381,46.1,47.1,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510462962964,mp
20230727 12:15:08,3696.0,21.53974661971831,1127.6478873239437,8612.42957746479,7.40664,25.3069394,46.3,47.2,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51050925926,mp
20230727 12:15:12,3700.0,21.256426619718308,1114.6478873239437,7397.429577464791,7.495539999999999,25.3145368,46.4,47.4,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510555555556,mp
20230727 12:15:16,3704.0,21.74436661971831,1092.6478873239437,7127.429577464791,7.432040000000001,25.3335303,46.5,47.7,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510601851853,mp
20230727 12:15:20,3708.0,21.69714661971831,1099.6478873239437,5642.429577464791,7.513319999999999,25.3449264,46.6,47.7,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51064814815,mp
20230727 12:15:24,3712.0,21.24068661971831,1112.6478873239437,5777.429577464791,7.365999999999999,25.3525238,46.9,47.8,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510694444445,mp
20230727 12:15:28,3716.0,20.61108661971831,1150.6478873239437,6452.429577464791,7.41172,25.3639199,47.1,47.8,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51074074074,mp
20230727 12:15:32,3720.0,20.02870661971831,1206.6478873239437,7937.429577464791,7.65302,25.3791147,47.3,47.8,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510787037038,mp
20230727 12:15:36,3724.0,19.74538661971831,1238.6478873239437,8342.42957746479,7.29742,25.3867121,47.6,47.8,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.510833333334,mp
20230727 12:15:40,3728.0,19.68242661971831,1249.6478873239437,10097.42957746479,8.07974,25.4019069,48.0,47.9,26.8,65536.0,1664614.4,3.8,3.6,3.4,2.9,19565.51087962963,mp
