time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g,g,g
20230727 12:26:04,4352.0,23.57020661971831,915.6478873239437,6587.429577464791,7.043419999999999,26.5946987,75.9,48.7,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.518101851852,mp,0.026282673591767943+/-0,1.6042531818253745+/-0,0.0028980303920638777+/-0,0.974904437242313,29.0,1154.4923007395996+/-0,146.57769813630466,5.054403384010506,0.1269629065888122,147.72496447581742,0.0033369246321358747,0.20368064686889978,0.0003679423619591449,2.5259020397382863,86.19937411417636,0.21484149855894333
20230727 12:26:08,4356.0,22.65728661971831,935.6478873239437,4562.429577464791,7.41172,26.5871013,76.2,48.9,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51814814815,mp,0.025265334845178067+/-0,1.6393355646435874+/-0,0.0020071652260808992+/-0,0.9763569192405818,29.0,1154.5215635161048+/-0,150.3630443525987,5.184932563882714,0.1302384027325283,148.24591808674754,0.0032905168547384812,0.21350444548180822,0.0002614099930650504,2.5291925565930247,86.41287855965817,0.21510290855200837
20230727 12:26:12,4360.0,22.16934661971831,951.6478873239437,7127.429577464791,7.437119999999999,26.5871013,76.4,49.0,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.518194444445,mp,0.024721228761723783+/-0,1.6673689406492944+/-0,0.0031355944363260055+/-0,0.9772345920292053,29.0,1154.5215635161048+/-0,150.6204714274823,5.193809359568355,0.13046137567908772,148.7677635894639,0.003225165512731915,0.2175272457616901,0.0004090739637347843,2.5324177221057567,86.63040580541985,0.21551198251574316
20230727 12:26:16,4364.0,22.04342661971831,942.6478873239437,7262.429577464791,7.289799999999999,26.590899999999998,76.4,49.2,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51824074074,mp,0.024580502769061142+/-0,1.6515792354566703+/-0,0.003194985447391537+/-0,0.9771497614821423,29.0,1154.5069319424244+/-0,149.12026361465897,5.142078055677896,0.12916359312262288,149.28441796195438,0.0031749060584125182,0.21332390837829793,0.0004126758003595817,2.535592628164169,86.84372971379815,0.21592465831610275
20230727 12:26:20,4368.0,22.73598661971831,989.6478873239437,7262.429577464791,7.33298,26.5871013,76.5,49.2,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.518287037037,mp,0.025353093890896503+/-0,1.7339482086628486+/-0,0.003194985447391537+/-0,0.9775421288259442,29.0,1154.5215635161048+/-0,149.5622046447887,5.157317401544438,0.12954474768690832,149.802596952702,0.003284360151178684,0.22462388319339538,0.0004138935836456806,2.5388769883153475,87.06835359699156,0.21633855189974843
20230727 12:26:24,4372.0,23.55446661971831,1028.6478873239437,6587.429577464791,7.3202799999999995,26.5871013,76.7,49.1,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.518333333333,mp,0.026265787966368213+/-0,1.802279562676759+/-0,0.0028980303920638777+/-0,0.9776141285643051,29.0,1154.5215635161048+/-0,149.43263500715608,5.152849483005382,0.12943251969418204,150.32032703147874,0.0033996471182401633,0.2332735849905814,0.00037509937579514597,2.5422766354335877,87.30162718198214,0.21671365127554357
20230727 12:26:28,4376.0,23.38132661971831,1086.6478873239437,6587.429577464791,7.238999999999999,26.5833026,76.7,49.0,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.51837962963,mp,0.02607304850098874+/-0,1.903924679971568+/-0,0.0028980303920638777+/-0,0.978936296156882,29.0,1154.5361954606542+/-0,148.60165573244325,5.124195025256664,0.12871112773831395,150.835171542432,0.0033558914761380168,0.24505629268794898,0.00037300875998244983,2.5456325269097255,87.54668347467009,0.217086660035526
20230727 12:26:32,4380.0,22.83042661971831,1126.6478873239437,8207.42957746479,7.6174599999999995,26.575705199999998,77.0,48.9,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.518425925926,mp,0.02545937271921332+/-0,1.9740590450649647+/-0,0.0036107225248502603+/-0,0.9801384451165581,29.0,1154.5654604624183+/-0,152.43860135874692,5.256503495129204,0.1320311464173658,151.36329612810147,0.003361430167184742,0.26063727881549764,0.0004767278343509854,2.5489939570769105,87.80732075348558,0.217563387869877
20230727 12:26:36,4384.0,22.38970661971831,1141.6478873239437,9287.42957746479,7.018019999999999,26.5643091,77.2,48.9,27.4,65536.0,1664614.4,3.9,3.7,3.4,2.9,19565.518472222222,mp,0.024968852737193077+/-0,2.0004173937291787+/-0,0.0040858506133745155+/-0,0.9807654780771609,29.0,1154.6093607469375+/-0,146.32058252794954,5.045537328549984,0.12672734822909468,151.87020552101785,0.003164236495707251,0.2535075916586556,0.0005177890134931723,2.552158193572618,88.06082834514424,0.21808117688337017
20230727 12:26:40,4388.0,21.96472661971831,1159.6478873239437,9152.42957746479,7.482839999999999,26.5605104,77.3,49.1,27.4,65536.0,1664614.4,3.9,3.6,3.4,2.9,19565.51851851852,mp,0.024495228314403417+/-0,2.0319830942262396+/-0,0.0040264596023089835+/-0,0.9814112287220679,29.0,1154.623994917+/-0,151.08943685928412,5.209980581354625,0.1308559648200843,152.3936293802982,0.0032053467345695063,0.26589710829307484,0.000526886256069235,2.5553635403071873,88.32672545343732,0.2186080631394394
