sep=,

firmware launcher:,6.89
firmware GUI,6.30

Household ID:,21
Sensor ID:,4001
Sensor Type:,FUELv2 
Start time:,2023-03-21 16:52:00
Stop time:,2023-03-24 07:06:20
Total number of logs:,56015
Study arm:,0

Fuel type:,
Fuel calibration value:,52.20
Fuel resolution (gram):,1.00

Timestamp,Battery level (%),Temperature (C), kg (FUEL 4001)
2023-03-22 16:16:12,83,16.38,1.334126
2023-03-22 16:16:16,83,16.38,1.334101
2023-03-22 16:16:20,83,16.38,1.334126
2023-03-22 16:16:24,83,16.38,1.334101
2023-03-22 16:16:28,82,16.38,1.334101
2023-03-22 16:16:32,83,16.38,1.333893
2023-03-22 16:16:36,83,16.38,1.333893
2023-03-22 16:16:40,83,16.38,1.333804
2023-03-22 16:16:44,83,16.38,1.333455
2023-03-22 16:16:48,83,16.38,1.333455
2023-03-22 16:16:52,82,16.38,1.333944
2023-03-22 16:16:56,83,16.38,1.333944
2023-03-22 16:17:00,83,16.38,1.333944
2023-03-22 16:17:04,83,16.38,1.334011
2023-03-22 16:17:08,83,16.38,1.333944
2023-03-22 16:17:12,83,16.38,1.334011
2023-03-22 16:17:16,83,16.38,1.333567
2023-03-22 16:17:20,83,16.38,1.334037
2023-03-22 16:17:24,83,16.38,1.333567
2023-03-22 16:17:28,82,16.38,1.333676
2023-03-22 16:17:32,83,16.38,1.333574
2023-03-22 16:17:36,83,16.38,1.333676
2023-03-22 16:17:40,82,16.38,1.333676
2023-03-22 16:17:44,83,16.38,1.333676
2023-03-22 16:17:48,83,16.38,1.333714
2023-03-22 16:17:52,83,16.38,1.333995
2023-03-22 16:17:56,83,16.38,1.333874
2023-03-22 16:18:00,83,16.38,1.333874
2023-03-22 16:18:04,83,16.38,1.333995
2023-03-22 16:18:08,82,16.38,1.333874
2023-03-22 16:18:12,83,16.38,1.333874
2023-03-22 16:18:16,82,16.38,1.334238
2023-03-22 16:18:20,83,16.38,1.334238
2023-03-22 16:18:24,82,16.38,1.334238
2023-03-22 16:18:28,83,16.38,1.334784
2023-03-22 16:18:32,83,16.38,1.334784
2023-03-22 16:18:36,83,16.38,1.334020
2023-03-22 16:18:40,83,16.38,1.334020
2023-03-22 16:18:44,83,16.38,1.333938
2023-03-22 16:18:48,83,16.38,1.333938
2023-03-22 16:18:52,82,16.38,1.333781
2023-03-22 16:18:56,82,16.38,1.333781
2023-03-22 16:19:00,83,16.38,1.333938
2023-03-22 16:19:04,83,16.38,1.333781
2023-03-22 16:19:08,83,16.38,1.333781
2023-03-22 16:19:12,83,16.38,1.333641
2023-03-22 16:19:16,83,16.38,1.333641
2023-03-22 16:19:20,83,16.38,1.333641
2023-03-22 16:19:24,83,16.38,1.333883
2023-03-22 16:19:28,83,16.38,1.333883
2023-03-22 16:19:32,83,16.38,1.333912
2023-03-22 16:19:36,83,16.38,1.333912
2023-03-22 16:19:40,83,16.38,1.333948
2023-03-22 16:19:44,83,16.38,1.333948
2023-03-22 16:19:48,83,16.38,1.333912
2023-03-22 16:19:52,82,16.38,1.333948
2023-03-22 16:19:56,83,16.38,1.334560
2023-03-22 16:20:00,83,16.38,1.334560
2023-03-22 16:20:04,83,16.38,1.333938
2023-03-22 16:20:08,82,16.38,1.333938
2023-03-22 16:20:12,83,16.38,1.333938
2023-03-22 16:20:16,83,16.38,1.333797
2023-03-22 16:20:20,83,16.38,1.333788
2023-03-22 16:20:24,83,16.38,1.333797
2023-03-22 16:20:28,83,16.38,1.334468
2023-03-22 16:20:32,82,16.38,1.333513
2023-03-22 16:20:36,83,16.38,1.333513
2023-03-22 16:20:40,83,16.38,1.334468
2023-03-22 16:20:44,83,16.38,1.333513
2023-03-22 16:20:48,83,16.38,1.333513
2023-03-22 16:20:52,82,16.38,1.333440
2023-03-22 16:20:56,83,16.38,1.333778
2023-03-22 16:21:00,82,16.38,1.333762
2023-03-22 16:21:04,83,16.38,1.333778
2023-03-22 16:21:08,82,16.38,1.334068
2023-03-22 16:21:12,83,16.38,1.334068
2023-03-22 16:21:16,83,16.38,1.333762
2023-03-22 16:21:20,83,16.38,1.333704
2023-03-22 16:21:24,83,16.38,1.333430
